fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
9.12664	0.03062	7.79537	6.88746	7.30097	6.07794	7.4281	1.64302
9.69134	0.03118	8.49218	8.40694	9.49211	8.96889	10.98285	3.20557
21.85876	0.05129	9.44257	6.29144	5.64848	4.74412	5.33319	1.45769
9.34548	0.0259	7.11245	6.25772	6.32378	5.61777	6.72259	1.73631
9.02124	0.02419	6.14802	5.10526	4.81998	3.86062	4.1756	0.89287
5.95247	0.01875	5.07658	4.54776	4.47801	3.62474	4.35571	0.95376
4.69263	0.01291	4.0086	3.68952	3.50247	2.80713	3.12911	0.7199
8.31014	0.02174	4.97767	4.01101	3.94648	3.15	3.58777	0.93288
8.28244	0.02091	5.02316	3.73115	3.48806	2.49436	2.74908	0.61616
8.11037	0.029	6.63658	6.27396	6.37706	5.43017	6.48353	1.42689
11.2315	0.03188	6.86265	5.66722	5.37521	4.3087	5.05255	1.11794
7.41922	0.01834	4.55928	3.66347	3.35851	2.64847	3.09524	0.70305
5.33616	0.01492	4.14099	3.64189	3.58852	3.10988	3.74199	1.03275
4.58397	0.01387	3.70309	3.20753	2.87228	2.32162	2.48789	0.54509
4.73969	0.01371	3.90249	3.58934	3.35033	2.70436	3.08965	0.61761
