fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.62977	3.31343	2.91494	4.16715	4.71674	6.19456	6.42499
0.6499	3.19511	2.57226	3.66813	4.45578	5.93205	6.28461
0.59258	3.21135	2.86933	3.87114	4.47407	6.12065	6.39516
0.70064	3.44841	2.95082	3.99443	4.69661	6.14594	6.53787
0.75697	4.74567	3.94978	4.97042	5.03192	6.16049	6.45226
0.65507	3.55099	3.0621	4.27673	5.00185	6.27188	6.46029
0.78657	4.13928	3.37893	4.35417	4.70368	6.0778	6.43324
0.93851	4.76004	3.92328	4.86119	4.98033	5.98254	6.31105
0.66626	3.48263	2.89067	4.02259	4.52789	6.00684	6.44209
1.00418	5.56994	4.73479	6.15118	5.94843	6.76307	6.65392
0.74443	4.02653	3.39322	4.54903	4.87834	6.23332	6.36983
0.88356	5.04268	4.26917	5.79404	5.85772	6.44155	6.32324
0.40183	2.38667	2.19387	3.14349	3.96328	5.61588	6.11253
0.88215	4.36116	3.90841	5.0297	5.23949	6.33506	6.33066
0.5786	2.81034	2.55413	3.42332	4.25919	5.72831	6.28592
0.66518	3.39681	3.09147	4.36276	4.62159	5.8129	6.24212
0.68949	3.75817	3.44688	4.42777	4.91228	6.11697	6.39291
1.14679	6.44327	5.67084	7.29866	6.77571	7.14768	6.34669
1.25032	6.51651	5.33531	6.4316	6.219	6.89162	6.64215
1.06692	6.34502	5.12462	6.38755	6.10221	6.83699	6.44304
0.69801	3.70324	3.32678	4.73789	5.30583	6.53176	6.24152
1.11423	6.07232	5.00762	6.32506	6.1654	7.05172	6.62031
0.98831	5.57071	4.42668	5.8443	5.98602	6.88417	6.51614
1.32262	6.2465	5.07886	6.48466	6.18738	7.00241	6.60063
0.90917	5.67567	4.70805	5.88708	6.10746	7.06485	6.53521
1.05216	5.1978	4.25046	5.5728	5.95233	7.00166	6.55723
0.8211	4.83134	3.93868	5.16953	5.44037	6.35961	6.1753
