fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
3.51283	0.01907	2.01252	1.41354	1.32877	1.08727	1.18049	0.51157
2.67855	0.01605	1.69121	1.05024	0.79358	0.52611	0.46984	0.18012
1.91921	0.01261	1.53309	1.21515	1.13573	0.92363	0.85324	0.3687
3.04365	0.018	1.87748	1.25445	1.05436	0.70488	0.6341	0.24361
2.14622	0.01244	1.59948	1.19513	1.0558	0.76436	0.79729	0.34019
2.34638	0.01621	1.76525	1.30265	1.09689	0.80297	0.75757	0.28785
4.6053	0.02501	2.29203	1.33766	1.06438	0.83303	0.78552	0.36912
5.06078	0.03016	2.4656	1.43297	1.12177	0.85366	0.73778	0.36635
5.89791	0.03064	2.64726	1.45592	1.17711	0.932	0.96639	0.49078
2.73389	0.01541	1.7975	1.25601	1.16272	0.92824	0.96547	0.48972
2.3585	0.01497	1.72026	1.30276	1.12846	0.91544	0.89866	0.51907
3.42933	0.0213	2.0808	1.27092	1.01907	0.65788	0.58342	0.20646
3.04972	0.01888	1.9072	1.35146	1.3445	1.16689	1.10179	0.43315
4.21825	0.02122	2.15046	1.35761	1.2115	0.98256	0.99108	0.43177
2.02016	0.01254	1.53427	1.1651	1.07681	0.79894	0.832	0.39923
3.03881	0.02021	1.92466	1.42344	1.24783	0.93471	0.83626	0.34464
3.07865	0.01854	2.01413	1.30585	1.07424	0.78927	0.78555	0.29321
2.33401	0.01789	1.85784	1.33951	1.17882	0.9666	1.12282	0.55607
2.54054	0.01542	1.81301	1.2298	1.20678	0.99877	1.12326	0.53491
2.62984	0.0163	1.67703	1.1655	1.00963	0.68179	0.60577	0.25186
1.97971	0.01498	1.59273	1.18095	1.13094	0.82119	0.8136	0.34718
1.59709	0.01137	1.34462	1.08881	0.91288	0.64665	0.67607	0.26723
2.53579	0.01394	1.60311	1.09809	0.94281	0.73023	0.74924	0.40263
4.78772	0.02364	2.07908	1.16616	0.92737	0.58191	0.5147	0.20549
2.37889	0.01541	1.60894	1.18907	1.05161	0.71848	0.62034	0.23605
3.97541	0.01789	1.82261	1.10344	0.81433	0.56785	0.45499	0.19885
4.89761	0.02488	2.38016	1.62698	1.48676	1.30645	1.23202	0.5132
2.04355	0.01314	1.54108	1.24195	1.28082	0.99428	1.013	0.45618
4.49103	0.02258	2.18285	1.45833	1.25381	0.97273	0.85352	0.44343
3.65964	0.01937	2.08408	1.40938	1.17079	0.81978	0.73515	0.32697
3.11767	0.01692	2.09018	1.46967	1.35555	1.10272	1.09431	0.49454
4.09034	0.02261	2.20708	1.67363	1.69096	1.32347	1.17593	0.51995
2.02672	0.01374	1.57627	1.25249	1.10776	0.98346	0.97783	0.46334
4.74237	0.02571	2.29662	1.392	1.3372	1.00827	0.99682	0.44955
1.79114	0.01202	1.42085	1.10289	1.00121	0.70646	0.74777	0.36348
2.02381	0.012	1.26623	0.89674	0.7326	0.49651	0.51009	0.22327
2.43655	0.01541	1.67833	1.21864	1.09908	0.73487	0.782	0.38175
2.31932	0.01478	1.61884	1.27307	1.32168	1.23403	1.30029	0.56108
1.92598	0.014	1.55902	1.14003	1.06709	0.79998	0.86477	0.36353
2.1006	0.01297	1.63977	1.21459	1.0696	0.85023	0.87218	0.44564
1.80191	0.01127	1.41493	1.05979	0.89798	0.69504	0.65431	0.33968
1.74536	0.01191	1.43503	1.11493	1.01893	0.74956	0.73327	0.35613
2.04537	0.01372	1.56787	1.18483	1.12096	0.81106	0.82286	0.31232
6.0976	0.03398	2.52036	1.36992	1.24302	1.05522	1.08414	0.57337
