fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.21888	0.70309	0.79034	1.19993	1.74029	2.77823	2.51924
0.26334	0.78138	0.90835	1.25754	1.77754	2.88339	2.60199
0.21118	0.6436	0.7525	1.16683	1.89275	3.1892	2.7091
0.39642	1.22258	1.18762	1.49779	1.95616	2.92113	2.53164
0.34485	1.05139	1.2344	1.58337	1.96497	2.9186	2.66622
0.31098	0.87067	1.02399	1.4677	2.02715	2.98211	2.51756
0.29874	0.95155	0.94086	1.4149	1.98574	2.92897	2.6425
0.26575	1.10365	1.20394	1.56639	2.1833	3.20465	2.6235
0.4011	1.1018	1.23703	1.72314	2.14998	3.05122	2.60089
0.29424	0.91202	0.97025	1.46831	2.02063	3.09036	2.57055
0.27406	0.82188	0.83015	1.19324	1.92228	3.09921	2.6283
0.26733	0.8344	0.85796	1.31789	1.85938	2.99441	2.59933
0.17416	0.58452	0.64334	0.93562	1.45877	2.63976	2.49512
0.26484	0.90602	0.99571	1.43096	1.97564	3.00561	2.55647
0.39839	1.1889	1.24956	1.57245	1.98294	2.88792	2.6297
0.28559	0.84151	0.97053	1.357	1.94982	2.95022	2.65085
0.33902	1.02742	1.01701	1.49164	1.92551	3.10995	2.52821
0.2592	0.84428	0.79643	1.12572	1.7272	2.77908	2.49659
0.30857	1.07119	1.14051	1.54955	1.92961	3.03116	2.58351
0.28634	0.91152	0.98476	1.35897	1.87086	2.94009	2.56862
0.34566	1.09729	1.13231	1.41672	1.87256	2.90016	2.52152
0.442	1.4446	1.22719	1.64673	2.03761	2.96461	2.5374
0.26835	0.91221	0.998	1.38283	1.93154	2.9201	2.55126
0.3828	1.21733	1.34178	1.60783	1.98322	2.8913	2.54558
0.2654	0.98928	0.93106	1.2292	1.80292	2.94702	2.67174
0.23565	0.83894	0.94689	1.33783	1.93029	3.03517	2.58107
0.36109	1.22999	1.18017	1.53882	2.06928	2.95463	2.52946
0.30793	0.80452	0.93145	1.34873	1.94593	2.97572	2.5856
0.33206	0.89263	1.10554	1.42913	1.95373	3.0667	2.57476
0.31443	1.17041	1.24299	1.61887	1.97513	2.94133	2.58443
0.42592	1.32277	1.25839	1.59541	2.1005	3.19799	2.62578
0.27485	0.79276	0.90383	1.2407	1.86949	3.05167	2.6231
0.26719	0.88462	1.03369	1.39775	1.93365	2.98733	2.57528
0.21362	0.80327	0.80673	1.2671	1.77052	2.86418	2.63406
0.21135	0.80517	0.95566	1.32413	1.87902	2.8745	2.5991
0.30746	0.95614	1.19001	1.56967	2.09023	2.99845	2.55183
0.313	0.9761	1.14984	1.55862	2.06794	2.92471	2.54788
0.51267	1.52381	1.48706	1.91046	2.27997	3.10616	2.61753
0.40842	1.20924	1.2945	1.63148	2.14404	3.04267	2.62325
0.22713	0.8275	0.8422	1.15857	1.70645	2.93008	2.53366
0.48979	1.45899	1.187	1.55612	1.89874	2.9464	2.53845
0.39757	1.39122	1.42502	1.8739	2.24588	3.1129	2.57912
0.33386	1.13096	1.22861	1.5686	2.11063	3.26902	2.66715
0.2738	0.83985	0.88381	1.27253	1.84023	2.86592	2.48792
0.24681	0.9749	1.00943	1.29858	1.79423	2.85662	2.60083
0.36064	1.09571	0.98641	1.39769	2.05092	3.10664	2.62494
0.29616	0.87132	0.89953	1.30672	1.89856	3.11954	2.62468
0.15533	0.51911	0.57329	0.96295	1.72616	3.04334	2.66132
0.31242	0.94591	0.99057	1.35044	1.84122	2.87228	2.56431
0.22227	0.63755	0.70104	1.11372	1.77729	2.88637	2.52927
0.2609	0.97597	0.95959	1.43899	1.9856	2.97391	2.58514
0.37812	1.38116	1.29318	1.7495	2.11994	3.06162	2.59999
0.32282	1.02123	1.11597	1.60533	2.10058	3.03149	2.56547
0.32338	0.94232	1.00916	1.57781	2.13693	2.93255	2.52679
0.32928	0.89398	0.97366	1.3789	1.77019	2.78616	2.46021
0.25091	0.90948	1.04639	1.51771	2.06711	3.12974	2.58194
0.30718	0.98197	1.07029	1.34209	1.85587	2.95237	2.5611
0.30842	0.94553	1.08961	1.58816	2.01172	2.96636	2.55055
0.12522	0.49672	0.60921	0.98165	1.75391	3.05041	2.63717
0.1857	0.6802	0.80677	1.20802	1.80826	2.88154	2.63444
0.29761	1.0929	1.13134	1.52962	1.98344	2.85058	2.46357
0.27029	0.77612	0.82814	1.29998	1.95445	2.96989	2.44666
0.28417	0.91801	0.93504	1.27734	1.94536	2.95203	2.50906
0.38159	1.29157	1.18532	1.61228	2.09911	3.16869	2.57847
0.3871	1.32192	1.30916	1.62582	2.08822	3.09727	2.58917
0.3982	1.29211	1.20537	1.71143	1.95177	2.89192	2.56036
0.26153	0.64207	0.76717	1.16189	1.75878	3.06464	2.59646
0.38294	1.1911	1.22793	1.6391	2.16099	3.12247	2.62723
0.28089	0.84831	0.99695	1.4101	1.94718	2.9493	2.58816
0.3222	1.10278	1.10053	1.42195	1.94777	3.10848	2.64714
0.29812	0.89533	1.08985	1.62031	2.23593	3.27366	2.69619
0.39503	1.33031	1.28999	1.55953	2.00834	3.00958	2.57772
0.37557	1.2678	1.24459	1.68116	2.07373	2.94395	2.60778
0.45595	1.66272	1.64383	2.12679	2.38978	3.18817	2.58235
0.53206	1.37255	1.61756	1.97819	2.36429	3.2209	2.57802
0.64366	2.1758	1.98498	2.37869	2.51922	3.23502	2.63727
0.38321	1.36251	1.42568	1.81873	2.12953	3.08606	2.60386
0.3003	0.88688	0.99628	1.34612	1.84818	2.89474	2.53434
0.47432	1.66696	1.51227	2.02391	2.18951	2.99016	2.59442
0.51102	1.48261	1.42143	1.85829	2.17188	3.1319	2.63697
0.41237	1.22792	1.27233	1.64581	2.24083	3.17057	2.69894
0.43483	1.31978	1.53528	1.72551	2.30919	3.3725	2.65128
0.37544	1.0181	1.16783	1.5225	2.04184	3.1621	2.60617
0.38339	1.30123	1.31574	1.65784	2.06218	3.05123	2.56503
0.51151	1.20062	1.19055	1.54778	2.09838	2.92375	2.49784
0.4461	1.41975	1.42794	1.80589	2.19923	3.34504	2.63901
0.28592	0.96562	1.04663	1.35746	1.82033	2.92301	2.57472
0.4009	1.1346	1.1644	1.54894	2.0029	2.98476	2.5592
0.35179	1.29551	1.37221	1.77333	2.12936	2.93975	2.55052
0.28446	0.89278	0.94336	1.39583	1.81477	2.86226	2.51702
0.23395	0.84005	1.03266	1.42104	2.02568	3.01131	2.6133
0.43517	1.44306	1.63681	1.97872	2.35446	3.38881	2.64533
0.37209	1.2698	1.26162	1.61246	2.08945	3.19915	2.682
0.34187	1.07666	1.08558	1.46074	2.035	3.14453	2.64608
0.2547	0.92784	1.05691	1.47076	2.04658	3.04503	2.66482
0.33203	1.05655	1.14924	1.60848	2.02773	3.17645	2.63071
0.32597	1.1385	1.20444	1.69688	2.17687	3.10255	2.63506
0.3089	0.82351	0.97802	1.29206	1.96817	2.98204	2.57473
0.30047	0.85331	0.98988	1.40295	2.03545	3.0685	2.63078
0.4503	1.35187	1.28558	1.80051	2.20847	3.15326	2.53769
0.38089	1.0658	1.19853	1.64939	2.11918	3.05034	2.58379
0.31253	1.02165	1.13072	1.50641	2.06249	3.12313	2.6539
0.30173	1.01746	1.14073	1.48746	1.9259	3.00012	2.62719
0.4457	1.26624	1.35668	1.8495	2.22802	3.01653	2.59847
0.21381	0.72667	0.82508	1.25842	1.92914	2.91669	2.60476
0.38221	1.15994	1.28554	1.66288	2.16395	3.16966	2.65013
0.4188	0.97819	1.24501	1.69307	2.16583	3.02145	2.53668
0.44815	1.34854	1.55323	2.12017	2.41443	3.12424	2.56721
0.33565	1.05099	1.00317	1.29988	1.93913	2.87947	2.45395
0.22053	0.6519	0.82924	1.23919	1.88102	3.03975	2.56639
0.3598	1.03773	1.13029	1.53751	1.9888	3.02867	2.55392
0.30237	1.10031	1.10564	1.50457	1.99757	3.13093	2.65592
0.21115	0.70874	0.76277	1.14417	1.80198	3.0313	2.5911
0.2601	0.86793	0.89927	1.22346	1.83659	2.92341	2.59149
0.26697	0.99077	0.96122	1.28705	1.71787	2.9156	2.52819
0.36486	1.30347	1.34193	1.80881	2.04123	2.98223	2.49346
0.25347	0.80409	0.92393	1.27596	1.9408	3.03087	2.56288
0.37399	1.15302	1.19053	1.48735	1.9574	2.96005	2.5101
0.41047	1.2577	1.35906	1.63406	2.13153	3.1428	2.59311
0.38293	1.26086	1.28709	1.65104	2.11703	3.30498	2.68942
0.53944	1.80192	1.67265	2.08476	2.29961	3.22286	2.58173
0.39065	1.55608	1.54008	1.8386	2.17077	3.0559	2.56356
0.46936	1.18008	1.36745	1.73683	2.1662	3.02809	2.59615
0.40668	1.10069	1.09566	1.48834	1.98438	2.99946	2.48208
0.21988	0.70205	0.82388	1.21769	1.83444	2.938	2.52779
0.50457	1.71098	1.56779	1.8689	2.06251	2.96835	2.56574
0.26485	0.85076	0.91921	1.24312	1.89583	2.87883	2.5304
0.39466	1.24012	1.28459	1.79757	2.33817	3.21675	2.65959
0.34439	1.01957	1.114	1.56003	2.15253	3.09811	2.62707
0.56438	1.65897	1.78438	2.1986	2.41382	3.09678	2.52866
0.45355	1.11075	1.26577	1.54865	2.18905	3.10114	2.60095
0.40368	1.41553	1.35571	1.68958	2.01195	2.98845	2.5344
0.44104	1.22051	1.3839	1.80621	2.33368	3.253	2.61042
0.25014	0.86295	0.92713	1.34727	1.9143	2.9257	2.54406
0.35981	1.13465	1.22143	1.65934	2.13924	3.23475	2.62766
0.35783	1.09808	1.12572	1.53475	1.93869	2.9236	2.51054
